Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 10,2022-10-03 10:33:08,2022-10-03 17:26:35,0 days 06:53:27,2022-10-03,morning,413.45
Staff 10,2022-10-04 10:01:30,2022-10-04 17:07:37,0 days 07:06:07,2022-10-04,morning,426.1166666666667
Staff 10,2022-10-05 10:04:44,2022-10-05 12:47:33,0 days 02:42:49,2022-10-05,morning,162.81666666666666
Staff 16,2022-10-03 10:05:14,2022-10-03 16:45:42,0 days 06:40:28,2022-10-03,morning,400.46666666666664
Staff 16,2022-10-04 10:01:04,2022-10-04 17:59:57,0 days 07:58:53,2022-10-04,morning,478.8833333333333
Staff 16,2022-10-05 10:02:52,2022-10-05 17:37:40,0 days 07:34:48,2022-10-05,morning,454.8
Staff 16,2022-10-06 10:05:29,2022-10-06 17:21:02,0 days 07:15:33,2022-10-06,morning,435.55
Staff 16,2022-10-07 10:06:06,2022-10-07 17:54:34,0 days 07:48:28,2022-10-07,morning,468.46666666666664
Staff 16,2022-10-08 10:17:05,2022-10-08 17:54:13,0 days 07:37:08,2022-10-08,morning,457.1333333333333
Staff 16,2022-10-09 09:09:27,2022-10-09 17:54:39,0 days 08:45:12,2022-10-09,morning,525.2
Staff 16,2022-10-10 09:09:01,2022-10-10 17:20:54,0 days 08:11:53,2022-10-10,morning,491.8833333333333
Staff 16,2022-10-11 09:48:48,2022-10-11 17:59:55,0 days 08:11:07,2022-10-11,morning,491.1166666666667
Staff 16,2022-10-12 09:06:32,2022-10-12 17:54:16,0 days 08:47:44,2022-10-12,morning,527.7333333333333
Staff 16,2022-10-13 09:03:13,2022-10-13 17:16:51,0 days 08:13:38,2022-10-13,morning,493.6333333333333
Staff 16,2022-10-14 09:51:55,2022-10-14 17:56:54,0 days 08:04:59,2022-10-14,morning,484.98333333333335
Staff 16,2022-10-15 09:00:05,2022-10-15 17:57:32,0 days 08:57:27,2022-10-15,morning,537.45
Staff 16,2022-10-16 09:00:29,2022-10-16 17:59:17,0 days 08:58:48,2022-10-16,morning,538.8
Staff 16,2022-10-17 09:04:26,2022-10-17 16:42:56,0 days 07:38:30,2022-10-17,morning,458.5
Staff 16,2022-10-18 10:05:23,2022-10-18 16:55:20,0 days 06:49:57,2022-10-18,morning,409.95
Staff 16,2022-10-19 10:13:34,2022-10-19 16:49:09,0 days 06:35:35,2022-10-19,morning,395.5833333333333
Staff 16,2022-10-20 09:55:43,2022-10-20 17:33:30,0 days 07:37:47,2022-10-20,morning,457.78333333333336
Staff 16,2022-10-21 09:54:49,2022-10-21 17:18:21,0 days 07:23:32,2022-10-21,morning,443.53333333333336
Staff 16,2022-10-23 13:08:49,2022-10-23 14:47:19,0 days 01:38:30,2022-10-23,afternoon,98.5
Staff 16,2022-10-24 10:00:50,2022-10-24 17:35:15,0 days 07:34:25,2022-10-24,morning,454.4166666666667
Staff 16,2022-10-25 10:01:48,2022-10-25 17:49:22,0 days 07:47:34,2022-10-25,morning,467.56666666666666
Staff 16,2022-10-26 10:11:36,2022-10-26 17:35:48,0 days 07:24:12,2022-10-26,morning,444.2
Staff 16,2022-10-27 09:34:37,2022-10-27 16:41:31,0 days 07:06:54,2022-10-27,morning,426.9
Staff 16,2022-10-28 09:00:05,2022-10-28 15:54:46,0 days 06:54:41,2022-10-28,morning,414.68333333333334
Staff 16,2022-10-31 10:23:30,2022-10-31 17:59:59,0 days 07:36:29,2022-10-31,morning,456.48333333333335
Staff 17,2022-10-03 10:19:07,2022-10-03 17:28:02,0 days 07:08:55,2022-10-03,morning,428.9166666666667
Staff 17,2022-10-04 10:01:22,2022-10-04 17:48:37,0 days 07:47:15,2022-10-04,morning,467.25
Staff 17,2022-10-05 09:39:10,2022-10-05 17:36:24,0 days 07:57:14,2022-10-05,morning,477.23333333333335
Staff 17,2022-10-06 09:57:24,2022-10-06 17:34:27,0 days 07:37:03,2022-10-06,morning,457.05
Staff 17,2022-10-07 10:06:41,2022-10-07 17:47:24,0 days 07:40:43,2022-10-07,morning,460.71666666666664
Staff 17,2022-10-10 10:03:18,2022-10-10 16:39:10,0 days 06:35:52,2022-10-10,morning,395.8666666666667
Staff 17,2022-10-11 09:45:00,2022-10-11 17:31:35,0 days 07:46:35,2022-10-11,morning,466.5833333333333
Staff 17,2022-10-12 09:38:21,2022-10-12 17:36:58,0 days 07:58:37,2022-10-12,morning,478.6166666666667
Staff 17,2022-10-13 10:05:46,2022-10-13 16:42:54,0 days 06:37:08,2022-10-13,morning,397.1333333333333
Staff 17,2022-10-14 09:51:59,2022-10-14 17:52:38,0 days 08:00:39,2022-10-14,morning,480.65
Staff 17,2022-10-15 14:58:20,2022-10-15 17:46:09,0 days 02:47:49,2022-10-15,afternoon,167.81666666666666
Staff 17,2022-10-16 11:42:00,2022-10-16 17:52:07,0 days 06:10:07,2022-10-16,morning,370.1166666666667
Staff 17,2022-10-17 10:01:24,2022-10-17 17:20:03,0 days 07:18:39,2022-10-17,morning,438.65
Staff 17,2022-10-18 09:56:40,2022-10-18 17:59:18,0 days 08:02:38,2022-10-18,morning,482.6333333333333
Staff 17,2022-10-19 09:03:07,2022-10-19 16:49:17,0 days 07:46:10,2022-10-19,morning,466.1666666666667
Staff 17,2022-10-20 09:59:22,2022-10-20 17:59:48,0 days 08:00:26,2022-10-20,morning,480.43333333333334
Staff 17,2022-10-21 09:02:32,2022-10-21 17:08:40,0 days 08:06:08,2022-10-21,morning,486.1333333333333
Staff 17,2022-10-24 09:56:35,2022-10-24 17:35:29,0 days 07:38:54,2022-10-24,morning,458.9
Staff 17,2022-10-25 10:00:52,2022-10-25 17:46:02,0 days 07:45:10,2022-10-25,morning,465.1666666666667
Staff 17,2022-10-26 10:12:55,2022-10-26 17:28:56,0 days 07:16:01,2022-10-26,morning,436.01666666666665
Staff 17,2022-10-27 10:08:23,2022-10-27 13:05:23,0 days 02:57:00,2022-10-27,morning,177.0
Staff 17,2022-10-28 09:42:32,2022-10-28 17:38:58,0 days 07:56:26,2022-10-28,morning,476.43333333333334
Staff 17,2022-10-31 09:50:35,2022-10-31 17:45:50,0 days 07:55:15,2022-10-31,morning,475.25
Staff 18,2022-10-03 10:08:01,2022-10-03 17:29:01,0 days 07:21:00,2022-10-03,morning,441.0
Staff 18,2022-10-04 10:01:06,2022-10-04 17:39:18,0 days 07:38:12,2022-10-04,morning,458.2
Staff 18,2022-10-05 09:57:43,2022-10-05 17:35:54,0 days 07:38:11,2022-10-05,morning,458.18333333333334
Staff 18,2022-10-06 09:57:25,2022-10-06 17:34:27,0 days 07:37:02,2022-10-06,morning,457.03333333333336
Staff 18,2022-10-07 09:33:45,2022-10-07 17:42:28,0 days 08:08:43,2022-10-07,morning,488.71666666666664
