Technician,Location,from,to
Staff 10,"19.331,15.537","9/27/2022, 11:35:27 AM","9/27/2022, 11:35:36 AM"
Staff 10,"18.832,14.852","9/27/2022, 11:35:36 AM","9/27/2022, 11:35:48 AM"
Staff 10,"19.305,16.041","9/27/2022, 11:35:48 AM","9/27/2022, 11:37:08 AM"
Staff 10,"18.945,15.041","9/27/2022, 11:37:08 AM","9/27/2022, 11:37:20 AM"
Staff 10,"18.832,14.852","9/27/2022, 11:37:20 AM","9/27/2022, 11:37:46 AM"
Staff 10,"20.887,13.06","9/27/2022, 11:37:46 AM","9/27/2022, 11:43:37 AM"
Staff 10,"20.008,13.591","9/27/2022, 11:43:37 AM","9/27/2022, 11:44:02 AM"
Staff 10,"20.911,14.326","9/27/2022, 11:44:02 AM","9/27/2022, 11:44:23 AM"
Staff 10,"20.109,14.926","9/27/2022, 11:44:23 AM","9/27/2022, 11:45:09 AM"
Staff 10,"15.635,14.464","9/27/2022, 11:45:09 AM","9/27/2022, 11:45:11 AM"
Staff 10,"17.323,14.67","9/27/2022, 11:45:11 AM","9/27/2022, 11:45:13 AM"
Staff 10,"18.832,14.852","9/27/2022, 11:45:13 AM","9/27/2022, 11:45:21 AM"
Staff 10,"20.704,14.899","9/27/2022, 11:45:21 AM","9/27/2022, 11:46:12 AM"
Staff 10,"18.832,14.852","9/27/2022, 11:46:12 AM","9/27/2022, 11:46:27 AM"
Staff 10,"20.462,14.174","9/27/2022, 11:46:27 AM","9/27/2022, 11:46:36 AM"
Staff 10,"20.232,14.852","9/27/2022, 11:46:36 AM","9/27/2022, 11:46:37 AM"
Staff 10,"20.892,13.914","9/27/2022, 11:46:37 AM","9/27/2022, 11:46:43 AM"
Staff 10,"20.752,12.785","9/27/2022, 11:46:43 AM","9/27/2022, 11:46:55 AM"
Staff 10,"20.495,13.784","9/27/2022, 11:46:55 AM","9/27/2022, 11:46:58 AM"
Staff 10,"20.232,14.852","9/27/2022, 11:46:58 AM","9/27/2022, 11:47:06 AM"
Staff 10,"21.015,13.954","9/27/2022, 11:47:06 AM","9/27/2022, 11:47:15 AM"
Staff 10,"20.232,14.852","9/27/2022, 11:47:15 AM","9/27/2022, 11:47:17 AM"
Staff 10,"21.074,14.26","9/27/2022, 11:47:17 AM","9/27/2022, 11:47:42 AM"
Staff 10,"20.306,13.36","9/27/2022, 11:47:42 AM","9/27/2022, 12:08:06 PM"
Staff 10,"20.522,14.355","9/27/2022, 12:08:06 PM","9/27/2022, 12:17:17 PM"
Staff 10,"20.347,13.267","9/27/2022, 12:17:17 PM","9/27/2022, 12:17:40 PM"
Staff 10,"20.655,14.354","9/27/2022, 12:17:40 PM","9/27/2022, 12:20:34 PM"
Staff 10,"20.774,13.355","9/27/2022, 12:20:34 PM","9/27/2022, 12:22:46 PM"
Staff 10,"20.638,14.359","9/27/2022, 12:22:46 PM","9/27/2022, 12:26:51 PM"
Staff 10,"20.642,15.611","9/27/2022, 12:26:51 PM","9/27/2022, 12:29:26 PM"
Staff 10,"21.09,14.448","9/27/2022, 12:29:26 PM","9/27/2022, 12:39:02 PM"
Staff 10,"20.306,15.41","9/27/2022, 12:39:02 PM","9/27/2022, 12:39:34 PM"
Staff 10,"19.392,15.948","9/27/2022, 12:39:34 PM","9/27/2022, 12:40:29 PM"
Staff 10,"20.038,15.159","9/27/2022, 12:40:29 PM","9/27/2022, 12:41:02 PM"
Staff 10,"19.167,15.827","9/27/2022, 12:41:02 PM","9/27/2022, 12:56:24 PM"
Staff 10,"20.062,15.046","9/27/2022, 12:56:24 PM","9/27/2022, 12:56:25 PM"
Staff 10,"20.889,14.482","9/27/2022, 12:56:25 PM","9/27/2022, 1:42:24 PM"
Staff 10,"21.205,13.362","9/27/2022, 1:42:24 PM","9/27/2022, 1:42:41 PM"
Staff 10,"21.056,14.516","9/27/2022, 1:42:41 PM","9/27/2022, 1:47:15 PM"
Staff 10,"21.283,15.497","9/27/2022, 1:47:15 PM","9/27/2022, 1:52:09 PM"
Staff 10,"20.917,14.432","9/27/2022, 1:52:09 PM","9/27/2022, 2:01:29 PM"
Staff 10,"21.095,13.414","9/27/2022, 2:01:29 PM","9/27/2022, 2:02:53 PM"
Staff 10,"20.951,14.411","9/27/2022, 2:02:53 PM","9/27/2022, 3:50:03 PM"
Staff 10,"20.538,15.384","9/27/2022, 3:50:03 PM","9/27/2022, 3:50:18 PM"
Staff 10,"18.832,14.852","9/27/2022, 3:50:18 PM","9/27/2022, 3:50:24 PM"
Staff 10,"19.584,15.564","9/27/2022, 3:50:24 PM","9/27/2022, 3:50:28 PM"
Staff 10,"18.832,14.852","9/27/2022, 3:50:28 PM","9/27/2022, 3:50:35 PM"
Staff 10,"19.539,15.684","9/27/2022, 3:50:35 PM","9/27/2022, 3:50:50 PM"
Staff 10,"20.107,14.85","9/27/2022, 3:50:50 PM","9/27/2022, 3:51:06 PM"
Staff 10,"20.973,14.348","9/27/2022, 3:51:06 PM","9/27/2022, 3:54:34 PM"
Staff 10,"20.232,14.852","9/27/2022, 3:54:34 PM","9/27/2022, 3:54:41 PM"
Staff 10,"20.944,14.1","9/27/2022, 3:54:41 PM","9/27/2022, 4:02:09 PM"
Staff 10,"18.801,13.719","9/27/2022, 4:02:09 PM","9/27/2022, 4:30:31 PM"
Staff 10,"19.58,14.464","9/27/2022, 4:30:31 PM","9/27/2022, 4:30:39 PM"
Staff 10,"20.185,15.327","9/27/2022, 4:30:39 PM","9/27/2022, 4:30:49 PM"
Staff 10,"20.769,14.417","9/27/2022, 4:30:49 PM","9/27/2022, 4:31:15 PM"
Staff 10,"21.773,14.599","9/27/2022, 4:31:15 PM","9/27/2022, 4:32:53 PM"
Staff 10,"20.742,14.474","9/27/2022, 4:32:53 PM","9/27/2022, 4:33:36 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:33:36 PM","9/27/2022, 4:33:41 PM"
Staff 10,"19.787,14.407","9/27/2022, 4:33:41 PM","9/27/2022, 4:34:02 PM"
Staff 10,"20.833,14.461","9/27/2022, 4:34:02 PM","9/27/2022, 4:34:13 PM"
Staff 10,"20.232,14.852","9/27/2022, 4:34:13 PM","9/27/2022, 4:37:18 PM"
Staff 10,"21.366,14.74","9/27/2022, 4:37:18 PM","9/27/2022, 4:39:05 PM"
Staff 10,"20.305,14.677","9/27/2022, 4:39:05 PM","9/27/2022, 4:39:46 PM"
Staff 10,"21.369,14.465","9/27/2022, 4:39:46 PM","9/27/2022, 4:39:55 PM"
Staff 10,"20.125,14.41","9/27/2022, 4:39:55 PM","9/27/2022, 4:40:04 PM"
